player,all_time_score
bartlett_kevin_06031947,1.5989555542776124
matthews_leigh_01031952,1.5469634028539148
quinlan_bernie_21071951,1.5362380786078598
wade_doug_16101941,1.475334955320431
coventry_gordon_25091901,1.4596919201677758
lockett_tony_09031966,1.4377019603713288
wilson_garry_17071953,1.429528547459043
dunstall_jason_14081964,1.4252290226699402
franklin_lance_30011987,1.4244694672813007
johnson_brad_18071976,1.4241673906184054
harvey_brent_14051978,1.415134039478338
lee_dick_19031889,1.4095175459732445
richardson_wayne_08121946,1.402775346738397
titus_jack_09031908,1.4020436455511933
ablett_gary_01101961,1.3954584464663256
skilton_bob_08111938,1.3910688568987881
murphy_john_20111949,1.3856761325113094
pavlich_matthew_31121981,1.38509258941868
ablett_gary_14051984,1.3803695862716063
tuck_michael_24061953,1.3771739175277995
riewoldt_nick_17101982,1.3768490627056598
richardson_matthew_19031975,1.3764659832010684
schimmelbusch_wayne_19011953,1.3695496579288216
pendlebury_scott_07011988,1.3686986655560929
madden_simon_30121957,1.3677676098267637
lloyd_matthew_16041978,1.3669889205783328
kernahan_stephen_01091963,1.3616841287981547
hawkins_tom_21071988,1.3491041680824702
whitten_ted_27071933,1.3469694389919036
goggin_bill_04011941,1.346455661298933
riewoldt_jack_31101988,1.344831629865755
wells_greg_06061950,1.3407444560649384
daniher_terry_15081957,1.3398300415608844
selwood_joel_26051988,1.3372625497834039
hutchison_bill_28041923,1.3312751746546632
bradley_craig_23101963,1.3312372579925906
dyer_jack_15111913,1.3312288563398902
loewe_stewart_23051968,1.3243832460086402
daicos_peter_20091961,1.3219916563613439
gallagher_adrian_12051946,1.3206936453079656
bisset_george_10031943,1.3203897752821574
grant_chris_13121972,1.3202649109467954
ashman_rodney_03121954,1.314422228070831
freake_jimmy_27011889,1.314093341606065
vallence_harry_04061905,1.3045201853303108
richards_lou_15031923,1.3044810172264913
reynolds_dick_20061915,1.3037250736778532
peck_john_07081937,1.3030717886017704
buckley_nathan_26071972,1.3003750063042132
smith_ross_12091942,1.2924818329556225
mohr_bill_29061909,1.2921037775223387
weightman_dale_03101959,1.290090595342023
ricciuto_mark_08061975,1.2894472283534908
watson_tim_13071961,1.2892758931299118
bedford_peter_11041947,1.288615082848501
barassi_ron_27021936,1.28849851146626
walls_robert_21071950,1.2881501553063088
oloughlin_michael_20021977,1.287732815804549
carey_wayne_27051971,1.2859231025654374
tuddenham_des_29011943,1.2817444802227116
goss_norm_03031951,1.280186682480141
martin_dustin_26061991,1.2782534994145942
smith_norm_21111915,1.2779589740532065
akermanis_jason_24021977,1.2762985085551308
forbes_keith_28051906,1.2762951397552498
goodes_adam_08011980,1.2760067905571963
martini_percy_04061888,1.275709897868279
moriarty_jack_30041901,1.2741987762804585
grant_shannon_19041977,1.2701970198758263
hall_barry_08021977,1.2690712042070702
pannam_albert_19041914,1.2615950765604853
ruthven_alan_17041922,1.2589589371472132
birt_john_29011937,1.25860846130162
dangerfield_patrick_05041990,1.2574058506747419
osborne_richard_16061964,1.2561005709139916
hagger_lloyd_07121898,1.2551923008444028
nicholls_john_13081939,1.2547925998758018
swan_dane_25021984,1.2546431875359911
harris_dick_21101911,1.251971682255851
winmar_nicky_25091965,1.2509906042042824
mckenna_peter_27081946,1.2507647961015043
harvey_robert_21081971,1.2500834359978983
kennedy_josh_20061988,1.2500011353522615
boak_travis_01081988,1.2493395965242398
flower_robert_05081955,1.2474163187797318
gardiner_vin_23101885,1.2451670642020454
mitchell_barry_07121965,1.2445393931165758
rankin_cliff_04121896,1.2432943244850143
olliver_arthur_10121916,1.240367187466016
thompson_scott_14031983,1.2401137894193646
lucas_scott_30121977,1.2385573750984198
aylett_allen_24041934,1.2381038004347371
jarman_darren_28011967,1.235801277005856
neale_lachie_24051993,1.2341247818006242
tredrea_warren_24121978,1.2333013305236131
chapman_paul_05111981,1.232282516723588
noonan_alan_13101947,1.2318107695268834
bell_peter_01031976,1.2316714195234704
davis_allan_29091948,1.2289100354734372
parratt_percy_27021887,1.2284703651622197
