player,score,percentile_rank,games_played
modra_tony_01031969,12459,100.0,23
dunstall_jason_14081964,12031,99.812382739212,21
ablett_gary_01101961,11606,99.62476547842401,17
mcguinness_tony_06051964,10651,99.43714821763602,23
williams_greg_30091963,10593,99.24953095684803,23
odonnell_gary_12051965,9895,99.06191369606003,24
bradley_craig_23101963,9798,98.87429643527204,22
bewick_darren_21081967,9740,98.68667917448406,24
lynch_alastair_19061968,9373,98.49906191369607,20
allan_ben_15101968,9356,98.31144465290807,21
heaver_brent_15061971,9162,98.12382739212008,23
misiti_joe_09111974,9117,97.93621013133207,23
carey_wayne_27051971,9116,97.74859287054409,19
anderson_greg_14051966,9026,97.5609756097561,22
bickley_mark_04081969,8919,97.37335834896811,23
salmon_paul_20011965,8883,97.18574108818011,20
tregenza_simon_09031971,8777,96.99812382739212,23
lovett_glenn_23071969,8765,96.81050656660413,20
mcguane_mick_29121967,8721,96.62288930581614,20
kernahan_stephen_01091963,8542,96.43527204502814,18
jarman_darren_28011967,8485,96.24765478424015,21
mcdermott_chris_04111963,8422,96.06003752345215,23
buckley_nathan_26071972,8354,95.87242026266416,20
brown_fraser_18081970,8236,95.68480300187618,23
loewe_stewart_23051968,8229,95.49718574108817,20
harvey_mark_11061965,8136,95.21575984990619,22
broderick_paul_03011970,8136,95.21575984990619,20
matera_peter_03041969,8112,94.93433395872421,20
hudson_paul_20071970,8107,94.74671669793621,21
mercuri_mark_21021974,8102,94.55909943714822,20
knights_matthew_05101970,8037,94.37148217636022,20
hocking_garry_08101968,8021,94.18386491557223,18
free_tony_27061969,7950,93.99624765478424,20
pyke_don_05121968,7902,93.80863039399625,22
sumich_peter_11011968,7877,93.52720450281426,21
atkins_simon_23121968,7877,93.52720450281426,20
campbell_wayne_23091972,7864,93.24577861163228,20
longmire_john_31121970,7815,93.05816135084429,20
roberts_mark_28061965,7770,92.87054409005628,21
thompson_mark_19111963,7742,92.6829268292683,21
gleeson_adrian_30041967,7703,92.4953095684803,21
mcadam_adrian_12031971,7681,92.3076923076923,17
fletcher_adrian_10101969,7676,92.12007504690432,20
liberatore_tony_11021966,7638,91.93245778611632,20
burke_nathan_06021970,7611,91.74484052532833,20
jarman_andrew_14011966,7536,91.55722326454033,22
lyon_garry_13091967,7509,91.36960600375235,18
armstrong_matt_01031967,7488,91.18198874296435,20
rocca_saverio_20111973,7481,90.99437148217636,20
wynd_jim_11111964,7427,90.80675422138836,20
russell_scott_07051970,7426,90.61913696060037,20
schwass_wayne_27111968,7405,90.43151969981238,19
stevens_anthony_02071971,7319,90.2439024390244,21
couch_paul_19071964,7234,90.0562851782364,20
ashcroft_marcus_25091971,7197,89.8686679174484,20
cameron_leon_02091972,7109,89.6810506566604,19
tingay_stephen_13081970,7075,89.49343339587243,20
liptak_matthew_30041970,7066,89.30581613508443,20
viney_todd_30031966,7043,89.11819887429644,20
condon_anthony_06121967,7007,88.93058161350844,21
stynes_jim_23041966,7002,88.74296435272045,20
pritchard_darrin_21031966,6966,88.55534709193246,20
hogg_jeff_15101966,6923,88.36772983114447,19
kelly_paul_28071969,6916,88.18011257035647,20
mccarthy_john_30031967,6909,87.99249530956847,19
lee_scott_05061963,6892,87.8048780487805,23
harvey_robert_21081971,6874,87.61726078799249,17
long_michael_01101969,6772,87.4296435272045,18
scott_robert_01031969,6730,87.2420262664165,20
lambert_craig_05101968,6727,87.05440900562851,20
smart_nigel_21051969,6711,86.86679174484053,22
merrett_roger_19041960,6702,86.67917448405254,18
denham_sean_29041969,6581,86.49155722326454,22
alvin_tom_21041962,6561,86.30393996247655,23
febey_steven_19081969,6515,86.11632270168855,20
cresswell_daryn_22051971,6485,85.92870544090057,18
watters_scott_25011969,6471,85.74108818011257,18
winmar_nicky_25091965,6450,85.55347091932458,16
platten_john_17031963,6417,85.36585365853658,18
wanganeen_gavin_18061973,6405,85.17823639774859,22
kickett_derek_06101962,6319,84.9906191369606,23
jakovich_glen_24031973,6296,84.80300187617262,22
cooper_paul_06041968,6294,84.61538461538461,20
wilson_peter_15111963,6253,84.42776735459663,22
francis_tony_01041969,6237,84.24015009380864,18
grant_chris_13121972,6164,84.05253283302065,17
hall_tony_16091964,6119,83.86491557223265,20
lovell_andy_28071970,6075,83.67729831144464,18
anderson_dean_01081967,6049,83.48968105065666,19
bairstow_mark_24071963,6046,83.30206378986867,14
waterman_chris_19091968,5984,83.11444652908068,20
roos_paul_27061963,5971,82.92682926829268,16
kemp_dean_17021969,5921,82.73921200750469,17
mckay_andrew_14071970,5915,82.55159474671669,23
hird_james_04021973,5898,82.36397748592871,16
lewis_dale_04051969,5867,82.17636022514071,16
febey_matthew_19081969,5863,81.98874296435272,18
heady_brett_04011970,5831,81.80112570356472,19
sexton_michael_05031971,5807,81.61350844277673,23
ricciuto_mark_08061975,5800,81.42589118198875,19
