player,score,percentile_rank,games_played
dangerfield_patrick_05041990,16076,100.0,24
martin_dustin_26061991,16037,99.84756097560977,25
crouch_matt_21041995,14301,99.6951219512195,25
mitchell_tom_31051993,13893,99.54268292682927,22
kelly_josh_12021995,13288,99.39024390243902,24
ward_callan_10041990,12866,99.23780487804879,25
duncan_mitch_10061991,12783,99.08536585365853,24
sloane_rory_17031990,12282,98.9329268292683,24
shiel_dylan_09031993,12226,98.78048780487805,25
wines_ollie_07101994,12171,98.6280487804878,23
franklin_lance_30011987,12112,98.47560975609755,24
laird_rory_29121993,12087,98.32317073170732,25
parker_luke_25101992,12067,98.17073170731707,24
cotchin_trent_07041990,11997,98.01829268292683,25
gaff_andrew_16061992,11967,97.86585365853658,24
adams_taylor_20091993,11904,97.71341463414635,22
murphy_marc_19071987,11898,97.5609756097561,22
merrett_zach_03101995,11770,97.40853658536585,22
zorko_dayne_09021989,11757,97.2560975609756,21
gibbs_bryce_15031989,11582,97.10365853658537,22
oliver_clayton_22071997,11531,96.95121951219512,22
kennedy_josh_20061988,11446,96.79878048780488,21
heppell_dyson_14051992,11432,96.64634146341463,23
shuey_luke_02061990,11412,96.4939024390244,23
treloar_adam_09031993,11406,96.34146341463415,21
ross_sebastian_07051993,11348,96.1890243902439,22
fyfe_nat_18091991,11295,96.03658536585365,21
sidebottom_steele_02011991,11178,95.88414634146342,22
neale_lachie_24051993,10959,95.73170731707317,21
docherty_sam_17101993,10871,95.57926829268293,22
grigg_shaun_19041988,10842,95.42682926829268,25
gray_robbie_30031988,10794,95.27439024390245,23
bontempelli_marcus_24111995,10677,95.1219512195122,22
ebert_brad_02041990,10671,94.96951219512195,23
douglas_richard_06021987,10629,94.8170731707317,25
daniher_joe_04031994,10623,94.66463414634147,23
goddard_brendon_20051985,10546,94.51219512195121,23
tuohy_zach_10121989,10466,94.35975609756098,25
zaharakis_david_21021990,10439,94.20731707317073,23
macrae_jack_03081994,10413,94.0548780487805,22
mitchell_sam_12101982,10344,93.90243902439023,22
hannebery_dan_24021991,10336,93.75,23
crouch_brad_14011994,10247,93.59756097560977,20
scully_tom_15051991,10241,93.4451219512195,24
beams_dayne_12021990,10209,93.29268292682927,19
yeo_elliot_01101993,10198,93.14024390243902,23
selwood_joel_26051988,10187,92.98780487804879,21
lynch_tom_15091990,10152,92.83536585365853,23
menegola_sam_07031992,10137,92.6829268292683,22
lloyd_jake_20091993,10078,92.53048780487805,23
billings_jack_18081995,9952,92.3780487804878,22
dahlhaus_luke_21081992,9844,92.22560975609755,22
ellis_brandon_03081993,9806,92.07317073170732,25
atkins_rory_12071994,9785,91.92073170731707,25
higgins_shaun_04031988,9783,91.76829268292683,21
walker_taylor_25041990,9771,91.61585365853658,23
cunnington_ben_30061991,9770,91.46341463414635,20
rockliff_tom_22021990,9757,91.3109756097561,20
dixon_charlie_23091990,9744,91.15853658536585,23
lambert_kane_26111991,9599,91.0060975609756,24
boak_travis_01081988,9570,90.85365853658537,22
hunter_lachie_13121994,9520,90.70121951219512,22
steven_jack_28031990,9468,90.54878048780488,20
simpson_kade_05051984,9452,90.39634146341463,22
priddis_matt_21031985,9450,90.2439024390244,21
betts_eddie_26111986,9419,90.09146341463415,24
hill_bradley_09071993,9402,89.9390243902439,22
smith_isaac_30121988,9339,89.78658536585365,22
hurley_michael_01061990,9334,89.63414634146342,21
roughead_jarryd_23011987,9326,89.48170731707317,22
prestia_dion_12101992,9302,89.32926829268293,22
riewoldt_jack_31101988,9281,89.17682926829268,23
williams_zac_20091994,9223,89.02439024390245,23
greene_toby_25091993,9214,88.8719512195122,19
polec_jared_12101992,9069,88.71951219512195,22
wingard_chad_29071993,9050,88.5670731707317,19
burgoyne_shaun_21101982,9033,88.41463414634147,22
roberton_dylan_21061991,9010,88.26219512195121,22
petracca_christian_04011996,9003,88.10975609756098,22
newnes_jack_24021993,8945,87.95731707317073,22
sheed_dom_10041995,8934,87.8048780487805,21
shaw_heath_27111985,8921,87.65243902439023,25
brown_ben_20111992,8920,87.5,22
hawkins_tom_21071988,8855,87.34756097560977,22
westhoff_justin_01101986,8824,87.1951219512195,23
gray_sam_01021992,8818,87.04268292682927,23
hall_aaron_09111990,8812,86.89024390243902,19
martin_jack_29011995,8794,86.73780487804879,22
ablett_gary_14051984,8709,86.58536585365853,14
mundy_david_20071985,8693,86.4329268292683,21
ziebell_jack_28021991,8685,86.28048780487805,19
lyons_jarryd_22071992,8683,86.1280487804878,18
lewis_jordan_24041986,8645,85.97560975609755,19
smith_brodie_14011992,8619,85.82317073170732,23
kennedy_josh_25081987,8613,85.67073170731707,19
houli_bachar_12051988,8589,85.51829268292683,21
shiels_liam_29041991,8586,85.36585365853658,21
motlop_steven_12031991,8584,85.21341463414635,23
heeney_isaac_05051996,8561,85.0609756097561,20
rich_daniel_07061990,8545,84.90853658536585,22
