player,score,percentile_rank,games_played
fanning_fred_05111921,2934,100.0,16
white_lindsay_05011922,2299,99.63636363636364,17
wood_bill_09111921,2268,99.27272727272727,16
prior_albert_15011921,2026,98.9090909090909,19
hart_eddie_16061922,1936,98.54545454545455,16
ruthven_alan_17041922,1694,98.18181818181819,20
leehane_ted_02061923,1512,97.81818181818181,18
hutchison_bill_28041923,1452,97.27272727272728,20
mann_neil_26081924,1452,97.27272727272728,16
dyer_syd_25051916,1421,96.72727272727273,19
dyer_jack_15111913,1391,96.36363636363636,20
baxter_ken_20081917,1270,96.0,15
albiston_alec_16111917,1149,95.45454545454545,19
williams_william_13091925,1149,95.45454545454545,18
turner_herb_06071921,1119,94.54545454545455,20
wilson_bill_18101924,1119,94.54545454545455,18
bennett_peter_11071926,1119,94.54545454545455,16
renfrey_russell_11081923,998,93.63636363636364,19
olliver_arthur_10121916,998,93.63636363636364,18
fraser_don_24101922,968,93.0909090909091,11
richards_lou_15031923,937,92.54545454545455,18
taylor_laurie_21101918,937,92.54545454545455,13
graham_jack_07051916,877,91.81818181818183,18
robb_tim_17121924,877,91.81818181818183,15
reynolds_dick_20061915,847,91.0909090909091,22
howell_jack_31081924,847,91.0909090909091,20
condon_don_12031923,816,90.54545454545455,17
brown_doug_30081923,786,90.0,15
baird_jim_09111920,786,90.0,14
jones_jack_07111924,756,88.72727272727273,22
conley_jack_18101920,756,88.72727272727273,20
curtin_claude_04071920,756,88.72727272727273,18
davies_fred_14081921,756,88.72727272727273,18
rosewarne_keith_18071924,756,88.72727272727273,16
lane_gordon_30051921,726,87.63636363636364,17
ryan_joe_27091917,695,86.9090909090909,19
rodda_alby_08091920,695,86.9090909090909,18
hands_ken_26101926,695,86.9090909090909,18
stafford_fred_03081926,665,85.63636363636363,21
oconnor_frank_06111923,665,85.63636363636363,17
lynch_marty_08081926,665,85.63636363636363,12
rose_bob_07081928,665,85.63636363636363,11
rawle_keith_29101924,635,84.36363636363636,22
dullard_adrian_12011918,635,84.36363636363636,19
goodingham_ivan_08011926,635,84.36363636363636,17
brittingham_bill_05091923,605,83.63636363636363,18
holten_mac_29031922,574,82.72727272727273,19
clegg_ron_17111927,574,82.72727272727273,18
taylor_don_24061920,574,82.72727272727273,14
mcleod_ron_04011919,574,82.72727272727273,13
mueller_jack_09091915,544,81.45454545454545,17
coates_george_03071923,544,81.45454545454545,15
carroll_chris_06031924,544,81.45454545454545,8
garby_ray_16011923,514,80.72727272727272,15
hunt_percy_12111922,484,80.18181818181817,18
mooney_arthur_14121924,484,80.18181818181817,13
johnstone_norm_16011927,453,78.36363636363637,21
kyne_phonse_29101915,453,78.36363636363637,18
castles_vic_04011918,453,78.36363636363637,13
swenson_clarrie_23051923,453,78.36363636363637,11
hester_jack_01071922,453,78.36363636363637,11
strang_allan_11101921,453,78.36363636363637,10
smith_norm_21111915,453,78.36363636363637,9
equid_harry_08101923,453,78.36363636363637,7
arnold_lance_06051926,393,76.0,19
vandersluys_stan_11071924,393,76.0,16
mears_harry_30041922,393,76.0,15
rayson_alan_26101924,393,76.0,12
crump_alf_07081922,393,76.0,10
pimm_jack_07101920,363,74.72727272727273,11
fothergill_des_15071920,363,74.72727272727273,4
bailey_george_05071919,332,72.18181818181819,21
ross_jim_18101927,332,72.18181818181819,16
lucas_bert_03041922,332,72.18181818181819,15
spokes_larry_30081920,332,72.18181818181819,14
hickey_harry_19071917,332,72.18181818181819,14
price_noel_27121917,332,72.18181818181819,13
foote_les_20081924,332,72.18181818181819,13
moore_guy_30061928,332,72.18181818181819,10
twomey_pat_02041929,332,72.18181818181819,10
laffey_merv_03071925,332,72.18181818181819,8
carmody_bill_25121922,332,72.18181818181819,7
piggott_max_20061920,332,72.18181818181819,4
logan_jack_14121923,302,68.72727272727272,19
morrow_tom_08101923,302,68.72727272727272,19
smith_stan_17041925,302,68.72727272727272,16
oppy_max_14101924,302,68.72727272727272,16
pike_george_22011923,302,68.72727272727272,11
irvine_arthur_17021926,302,68.72727272727272,9
collins_jack_09051925,302,68.72727272727272,8
clay_bert_07051915,272,66.36363636363637,19
dynon_kevin_11081925,272,66.36363636363637,18
mcintyre_ern_19041921,272,66.36363636363637,17
poulter_ray_10031929,272,66.36363636363637,16
stephens_frank_14031927,272,66.36363636363637,12
cooper_jack_29121922,272,66.36363636363637,3
burge_fred_06091923,242,62.727272727272734,19
mitchell_jim_26111920,242,62.727272727272734,17
flanagan_fred_28031924,242,62.727272727272734,17
obrien_dally_31101918,242,62.727272727272734,15
