player,score,percentile_rank,games_played
lockwood_teddy_06121872,2100,100.0,19
woods_ike_20081879,2040,99.64028776978418,18
rowell_ted_15061876,1800,99.28057553956835,17
forbes_ivan_16101880,1740,98.92086330935251,18
trotter_percy_01091883,1620,98.38129496402878,19
sullivan_joe_01021877,1620,98.38129496402878,15
kiernan_chris_23031878,1380,97.84172661870504,17
baker_charlie_18061880,1320,97.48201438848922,17
coles_charlie_26121878,1140,96.94244604316546,18
coutie_vin_28101881,1140,96.94244604316546,16
condon_dick_19031876,1080,96.22302158273382,19
grace_mick_24071874,1080,96.22302158273382,17
eason_bill_15121881,1020,95.68345323741008,18
mcspeerin_bill_25091874,960,94.7841726618705,18
wilkinson_alf_31121881,960,94.7841726618705,17
brophy_frank_29051879,960,94.7841726618705,16
brosnan_gerald_14081877,960,94.7841726618705,16
madden_mick_21061882,900,93.88489208633094,15
cumberland_vic_04071877,780,93.16546762589928,16
webber_fred_28041883,780,93.16546762589928,13
leith_jack_12081872,780,93.16546762589928,12
pears_harry_28071877,720,92.26618705035972,18
snell_archie_30071877,720,92.26618705035972,18
dowding_jack_28011881,660,91.72661870503596,17
leach_arthur_02031876,600,90.82733812949641,18
incoll_jack_14021879,600,90.82733812949641,16
green_george_05081882,600,90.82733812949641,13
goding_charlie_03081876,600,90.82733812949641,10
smith_dave_14091884,540,89.38848920863309,17
young_henry_16051873,540,89.38848920863309,17
milne_herbert_08021884,540,89.38848920863309,15
littler_joe_17071879,540,89.38848920863309,10
rankin_teddy_11031872,480,88.12949640287769,18
tulloch_lardie_15041871,480,88.12949640287769,17
leach_ted_24041883,480,88.12949640287769,10
elliott_fred_07041879,420,86.15107913669064,18
mckenzie_alec_04071882,420,86.15107913669064,17
sharpe_bert_06051878,420,86.15107913669064,15
gardiner_jack_08051881,420,86.15107913669064,13
leeds_billy_04041880,420,86.15107913669064,11
barker_george_26091885,420,86.15107913669064,9
hocking_ern_16051882,420,86.15107913669064,8
canavan_joe_04111880,420,86.15107913669064,8
barker_lou_26051876,360,82.91366906474819,18
gent_billy_19061879,360,82.91366906474819,17
mcshane_joe_29111868,360,82.91366906474819,17
james_charlie_22031880,360,82.91366906474819,16
moodie_george_22101872,360,82.91366906474819,16
hassett_jack_15081880,360,82.91366906474819,15
langley_frank_13101882,360,82.91366906474819,14
trevillian_alf_22041877,360,82.91366906474819,14
martin_george_26011875,360,82.91366906474819,11
crowe_matt_01091883,360,82.91366906474819,4
mcshane_henry_09021873,300,79.85611510791367,16
pleass_mick_12111874,300,79.85611510791367,15
hastings_george_13011877,300,79.85611510791367,14
lampe_harry_14091874,300,79.85611510791367,14
topping_george_27081881,300,79.85611510791367,9
hines_willie_28041880,300,79.85611510791367,7
nixon_fred_26091874,300,79.85611510791367,7
stephens_peter_16051879,240,77.33812949640287,18
smith_jimmy_04011877,240,77.33812949640287,17
carkeek_william_17101878,240,77.33812949640287,15
hedley_tom_05081882,240,77.33812949640287,14
mcleod_george_13091871,240,77.33812949640287,9
kinnear_ted_27101874,240,77.33812949640287,6
cleghorn_arthur_01121873,240,77.33812949640287,5
angus_george_15041875,180,72.66187050359713,18
drohan_eddie_17071876,180,72.66187050359713,17
tout_ernie_11081874,180,72.66187050359713,17
walker_bill_25051883,180,72.66187050359713,16
millis_les_18061881,180,72.66187050359713,15
scott_bill_26041880,180,72.66187050359713,14
mcdonough_jack_26071879,180,72.66187050359713,14
barry_son_08031877,180,72.66187050359713,12
strong_jack_18041884,180,72.66187050359713,12
bennion_bill_06091881,180,72.66187050359713,12
mills_paddy_17031884,180,72.66187050359713,12
johnson_bill_28061882,180,72.66187050359713,8
anderson_syd_12031884,180,72.66187050359713,6
jackson_bill_13041874,180,72.66187050359713,6
powell_dave_18021876,180,72.66187050359713,6
holligan_john_01111875,180,72.66187050359713,4
larkin_jimmy_27101874,180,72.66187050359713,4
wright_harry_13041870,180,72.66187050359713,3
dinsmore_bart_17111879,180,72.66187050359713,2
pannam_charlie_02101874,120,64.92805755395683,19
geggie_jack_29101881,120,64.92805755395683,17
ford_arthur_12061881,120,64.92805755395683,17
gilligan_arthur_18101879,120,64.92805755395683,14
moriarty_dan_18081875,120,64.92805755395683,13
stanlake_claude_12101882,120,64.92805755395683,12
barwick_vic_17061879,120,64.92805755395683,12
griffith_billy_26121880,120,64.92805755395683,11
cochrane_george_25091877,120,64.92805755395683,10
mcgee_billy_27021878,120,64.92805755395683,9
griffiths_bill_05041879,120,64.92805755395683,8
holligan_teddy_26031878,120,64.92805755395683,8
scott_fred_11041874,120,64.92805755395683,6
cormick_johnny_22011880,120,64.92805755395683,4
