player_id,first_name,surname,team,col4_unknown,af,sc,proj_af,proj_low,proj_sc,kicks,handballs,marks,tackles,hitouts,goals,behinds,frees_for,frees_against,status,tag_primary,blurb_template,tag_secondary,matchup_note,col24_unknown,col25_unknown,col26_unknown,col27_unknown,position,jumper,col30_unknown,col31_unknown,col32_unknown,col33_pct,col34_pct,col35_pct,col36_unknown,col37_unknown,col38_unknown,clangers,col40_unknown,col41_unknown,de_pct,tog_pct,col44_unknown,col45_unknown,af_q1,sc_q1,af_q2,sc_q2,af_q3,sc_q3,af_q4,sc_q4,col54_unknown,col55_unknown,col56_unknown,col57_unknown,col58_unknown,col59_unknown,col60_unknown,col61_unknown,col62_unknown,col63_unknown,col64_unknown
1023270,Marcus,Windhager,SK,2,25,13,33,17,24,2,3,0,3,0,1,0,0,0,Q1 19:39,hot,%P and %T,shovel,Started in the middle,,,,,Midfielder,2,0,0,0,12.8,2.61,3.68,,,,1,0,2,60,76,-45,0,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1020137,Mattaes,Phillipou,SK,7,24,31,30,21,28,3,2,1,1,0,0,1,1,1,Q1 19:39,hot,%P and %s,midfwd,Rotating in attack and midfield,,,,,Midfielder,25,0,0,0,0.62,64.22,35.11,,,,0,0,1,80,92,105,0,24,31,0,0,0,0,0,0,1,3,0,1,0,0,1,2,1,0,0
1020855,Max,Hall,SK,7,23,23,27,19,24,4,2,0,0,0,1,0,1,0,Q1 19:39,hot,First goal... %P and %s,shovel,Started in the middle,,,,,Midfielder,40,0,0,0,0.0,0.99,0.85,,,,2,3,2,66,73,141,0,23,23,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,1,0
1004912,Tom,De Koning,SK,1,18,21,22,16,21,2,2,0,1,6,1,1,0,0,Q1 19:39,ruck,%H... also %P... Tandem ruck with Marshall,,,,0,,,Ruck,21,1,58,0,0.0,16.85,9.56,,,,2,2,1,100,62,110,0,18,21,0,0,0,0,0,0,1,1,0,2,0,0,0,2,0,0,0
296422,Callum,Wilkie,SK,1,18,19,24,15,18,3,0,3,0,0,0,0,0,0,Q1 19:39,job,%M and %P... In defence on Faull,,,,,,,Back,44,0,0,0,0.31,0.45,0.56,,,,1,0,0,100,100,37,0,18,19,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0
1009260,Sam,Flanders,SK,2,17,12,23,15,21,4,1,2,0,0,0,1,0,0,Q1 19:39,guard,%P including %K... also %M... Started at half back,,,,,,,Midfielder,9,0,0,0,40.12,67.57,59.48,,,,0,0,1,60,100,161,0,17,12,0,0,0,0,0,0,0,0,0,3,0,0,2,2,2,0,0
1018018,Cooper,Sharman,SK,6,14,13,16,13,15,1,1,1,0,0,0,0,1,0,Q1 19:39,spearhead,%P and %s... Playing forward on Gray,,,,,,,Back,43,0,0,0,0.09,0.14,0.11,,,,0,0,1,100,100,47,0,14,13,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0
1027790,Hugo,Garcia,SK,0,14,16,18,11,15,1,2,1,1,0,0,0,0,0,Q1 19:39,shovel,%P... Playing on ball,,,,,,,Midfielder,34,0,0,0,0.8,0.26,0.38,,,,2,2,0,100,67,43,0,14,16,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0
295467,Jack,Macrae,SK,1,14,13,16,13,18,1,4,1,0,0,0,0,0,0,Q1 19:39,shovel,%P including %B... Playing midfield,,,,,,,Midfielder,6,0,0,0,51.64,0.41,0.43,,,,1,0,0,100,57,51,1,14,13,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
994389,Jack,Sinclair,SK,0,14,12,18,11,15,1,2,1,1,0,0,0,0,0,Q1 19:39,guard,%P... Starting at half back,,,,,,,Back,35,0,0,0,22.1,13.7,12.38,,,,1,1,0,66,86,33,1,14,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
