round_num,venue,date,year,attendance,team_1_team_name,team_1_q1_goals,team_1_q1_behinds,team_1_q2_goals,team_1_q2_behinds,team_1_q3_goals,team_1_q3_behinds,team_1_final_goals,team_1_final_behinds,team_2_team_name,team_2_q1_goals,team_2_q1_behinds,team_2_q2_goals,team_2_q2_behinds,team_2_q3_goals,team_2_q3_behinds,team_2_final_goals,team_2_final_behinds
1,S.C.G.,2025-03-07 19:40,2025,40310,Sydney,4,3,6,4,11,5,11,10,Hawthorn,5,3,9,6,11,10,14,12
1,Sydney Showground,2025-03-09 15:20,2025,19248,Greater Western Sydney,5,3,8,7,9,9,15,14,Collingwood,1,6,4,8,4,13,6,16
2,M.C.G.,2025-03-13 19:30,2025,80009,Richmond,1,1,4,1,9,3,13,4,Carlton,5,4,7,8,8,9,9,15
2,M.C.G.,2025-03-14 19:40,2025,80735,Hawthorn,6,1,10,4,13,7,17,9,Essendon,1,4,4,5,7,11,12,13
2,Kardinia Park,2025-03-15 13:20,2025,25372,Geelong,5,4,12,4,13,6,23,9,Fremantle,1,1,3,4,9,9,10,9
2,S.C.G.,2025-03-15 16:15,2025,34906,Sydney,4,0,7,3,9,6,12,10,Brisbane Lions,1,3,4,8,10,10,12,14
2,Docklands,2025-03-15 19:35,2025,34406,Western Bulldogs,5,3,8,5,12,7,17,11,North Melbourne,1,4,6,7,10,12,14,13
2,Adelaide Oval,2025-03-16 12:05,2025,42895,Adelaide,7,2,10,4,17,7,21,9,St Kilda,2,2,4,3,7,7,10,12
2,M.C.G.,2025-03-16 15:20,2025,23278,Melbourne,2,2,5,4,10,6,11,8,Greater Western Sydney,3,1,6,5,8,7,11,11
2,Perth Stadium,2025-03-16 15:10,2025,46532,West Coast,2,1,2,4,5,5,7,7,Gold Coast,4,5,9,7,14,11,20,16
3,M.C.G.,2025-03-20 19:30,2025,62735,Carlton,2,1,6,4,8,8,8,12,Hawthorn,2,3,5,5,9,7,12,8
3,M.C.G.,2025-03-21 19:40,2025,78027,Western Bulldogs,3,4,6,7,7,9,10,10,Collingwood,2,4,5,8,8,11,10,16
3,M.C.G.,2025-03-22 13:20,2025,46688,Essendon,3,2,5,4,9,7,15,10,Adelaide,5,5,11,8,18,10,25,11
3,Adelaide Oval,2025-03-22 15:45,2025,37342,Port Adelaide,6,6,13,11,19,13,21,14,Richmond,1,3,3,6,6,10,9,14
3,Docklands,2025-03-22 19:35,2025,36663,St Kilda,6,1,10,5,14,6,15,8,Geelong,1,4,5,6,9,9,13,13
3,Gabba,2025-03-23 12:10,2025,30012,Brisbane Lions,1,2,4,3,9,6,14,10,West Coast,5,2,8,3,9,9,11,9
3,Docklands,2025-03-23 15:20,2025,28768,North Melbourne,3,5,8,9,11,10,19,11,Melbourne,4,5,6,9,8,10,9,12
3,Perth Stadium,2025-03-23 15:10,2025,43882,Fremantle,4,3,5,5,8,8,9,11,Sydney,0,5,3,8,7,12,9,14
4,Docklands,2025-03-27 19:30,2025,25114,Essendon,2,5,3,9,5,14,9,18,Port Adelaide,3,5,4,6,7,8,8,12
4,Docklands,2025-03-28 19:40,2025,44894,Carlton,4,3,7,5,9,9,11,9,Western Bulldogs,0,4,4,5,9,7,12,11
4,M.C.G.,2025-03-29 13:20,2025,24506,Melbourne,1,4,2,9,6,12,8,14,Gold Coast,4,5,5,8,12,10,18,12
4,Docklands,2025-03-29 16:15,2025,41147,St Kilda,3,3,6,6,12,11,20,15,Richmond,1,3,5,4,6,7,7,11
4,Gabba,2025-03-29 18:35,2025,27966,Brisbane Lions,2,2,3,4,7,7,10,10,Geelong,3,4,7,6,7,6,9,7
4,York Park,2025-03-29 19:35,2025,14021,Hawthorn,0,2,6,10,10,12,10,16,Greater Western Sydney,5,7,5,9,7,10,9,10
4,Adelaide Oval,2025-03-30 14:50,2025,46511,Adelaide,4,1,8,5,13,8,17,12,North Melbourne,3,3,5,5,9,5,12,6
4,Perth Stadium,2025-03-30 15:10,2025,53289,West Coast,3,1,4,4,7,5,10,8,Fremantle,5,4,8,6,12,11,15,16
5,M.C.G.,2025-04-03 19:30,2025,82058,Collingwood,3,2,3,7,7,13,8,15,Carlton,3,5,4,5,4,6,6,10
5,Kardinia Park,2025-04-04 19:40,2025,30397,Geelong,3,5,6,8,8,11,12,13,Melbourne,1,2,4,5,6,7,6,10
5,Carrara,2025-04-05 12:20,2025,16211,Gold Coast,3,5,5,9,10,11,13,13,Adelaide,2,4,6,4,10,5,14,6
5,M.C.G.,2025-04-05 16:15,2025,42578,Richmond,3,1,6,4,9,8,13,12,Brisbane Lions,4,5,10,6,16,8,18,10
5,Docklands,2025-04-05 19:35,2025,31955,North Melbourne,2,0,5,1,6,3,8,4,Sydney,5,3,8,5,15,8,18,9
5,Sydney Showground,2025-04-06 13:10,2025,9231,Greater Western Sydney,5,6,11,7,14,11,20,12,West Coast,1,1,3,4,6,7,7,9
5,Adelaide Oval,2025-04-06 14:50,2025,34201,Port Adelaide,2,4,5,7,8,10,10,12,St Kilda,6,4,9,6,11,8,13,11
5,Perth Stadium,2025-04-06 15:10,2025,41491,Fremantle,4,2,11,5,14,6,15,7,Western Bulldogs,4,0,6,3,10,6,12,9
6,Adelaide Oval,2025-04-10 19:10,2025,50073,Adelaide,5,3,11,6,14,10,15,10,Geelong,4,4,9,6,13,8,18,11
6,Adelaide Oval,2025-04-11 19:10,2025,47649,Collingwood,4,3,10,7,13,11,16,13,Sydney,4,1,8,2,10,4,12,6
6,Barossa Oval,2025-04-12 12:05,2025,9317,North Melbourne,3,7,7,9,11,9,13,11,Gold Coast,6,1,9,5,14,10,21,15
6,Adelaide Oval,2025-04-12 12:50,2025,41252,Carlton,3,6,7,11,11,15,17,19,West Coast,1,3,3,6,4,12,6,14
6,Norwood Oval,2025-04-12 15:45,2025,9242,Western Bulldogs,2,4,9,8,11,12,14,13,Brisbane Lions,3,3,4,5,11,6,18,10
6,Adelaide Oval,2025-04-12 19:05,2025,45039,Melbourne,1,4,2,5,7,7,8,9,Essendon,3,4,7,4,10,5,15,6
6,Barossa Oval,2025-04-13 12:05,2025,10028,Richmond,4,2,6,3,7,3,7,5,Fremantle,4,4,7,7,13,8,16,12
6,Norwood Oval,2025-04-13 14:50,2025,9235,St Kilda,4,1,5,4,8,7,12,10,Greater Western Sydney,4,3,8,6,16,9,16,14
6,Adelaide Oval,2025-04-13 18:50,2025,47671,Port Adelaide,6,3,12,7,14,10,18,13,Hawthorn,1,2,3,2,7,5,14,7
7,Gabba,2025-04-17 19:30,2025,34802,Brisbane Lions,2,4,4,8,5,8,7,11,Collingwood,4,2,8,3,12,8,16,9
7,Docklands,2025-04-18 15:20,2025,46373,North Melbourne,2,2,6,3,7,4,11,5,Carlton,7,3,9,5,15,6,24,9
7,Perth Stadium,2025-04-18 16:10,2025,46080,West Coast,5,0,7,3,9,7,11,9,Essendon,1,2,4,3,9,7,11,11
7,M.C.G.,2025-04-19 13:20,2025,25202,Melbourne,6,1,12,2,15,5,16,11,Fremantle,4,2,8,5,11,10,14,13
7,Adelaide Oval,2025-04-19 15:45,2025,40062,Adelaide,3,2,3,5,6,7,7,10,Greater Western Sydney,0,3,1,4,2,8,4,10
7,Docklands,2025-04-19 19:35,2025,18423,Richmond,3,4,6,5,12,6,12,8,Gold Coast,2,3,3,9,4,11,9,15
7,S.C.G.,2025-04-20 15:20,2025,36636,Sydney,1,2,2,7,5,9,10,17,Port Adelaide,4,2,7,4,10,7,13,7
7,Docklands,2025-04-20 19:20,2025,35511,Western Bulldogs,3,5,8,8,13,13,18,19,St Kilda,4,1,4,4,6,8,8,8
7,M.C.G.,2025-04-21 15:20,2025,88746,Geelong,4,5,7,8,10,12,12,14,Hawthorn,2,6,5,10,9,12,11,13
8,M.C.G.,2025-04-24 19:30,2025,71635,Melbourne,3,2,5,4,11,7,12,11,Richmond,2,3,4,6,5,8,9,9
8,M.C.G.,2025-04-25 15:20,2025,92044,Collingwood,3,4,6,5,11,9,16,11,Essendon,1,1,5,3,8,3,10,6
8,Perth Stadium,2025-04-25 18:10,2025,53048,Fremantle,6,2,8,6,12,8,12,13,Adelaide,2,1,5,4,5,8,9,13
8,Docklands,2025-04-26 13:20,2025,29901,St Kilda,2,0,3,4,7,5,11,7,Brisbane Lions,4,6,8,8,12,13,17,16
8,Adelaide Oval,2025-04-26 15:45,2025,35004,Port Adelaide,7,3,9,5,12,8,14,13,North Melbourne,2,4,7,5,10,7,13,10
8,Manuka Oval,2025-04-26 19:35,2025,12234,Greater Western Sydney,3,3,7,6,7,7,12,9,Western Bulldogs,2,3,8,5,13,8,17,11
8,Carrara,2025-04-27 13:15,2025,18034,Gold Coast,2,2,6,6,12,12,17,15,Sydney,6,3,9,5,9,6,12,7
8,M.C.G.,2025-04-27 15:20,2025,67658,Carlton,3,3,8,5,12,8,14,10,Geelong,3,2,5,4,8,4,12,4
8,Docklands,2025-04-27 16:45,2025,26425,Hawthorn,2,8,9,10,12,14,18,16,West Coast,2,1,4,5,7,7,11,8
