era,n_team_games,mean_goals,mean_behinds,mean_points,mean_scoring_shots,mean_goal_accuracy,std_points,mean_match_total_goals,mean_match_total_points,n_matches
pre-1965,13116,10.077767612076853,12.04231473010064,72.50892040256176,22.120082342177493,0.45203218643254683,27.761129055092262,20.155535224153706,145.0178408051235,6558
1965-1990,7138,13.854581115158307,13.623564023536005,96.75105071448586,27.478145138694313,0.5013386026914236,31.061602041045155,27.709162230316615,193.5021014289717,3569
1991-2010,7272,13.919554455445544,12.21012101210121,95.72744774477448,26.129675467546754,0.53039945157612,29.10581334432386,27.83910891089109,191.45489548954896,3636
2011-present,6274,12.316225693337584,10.985814472425885,84.88316863245139,23.30204016576347,0.526623457628688,27.025383096585944,24.632451386675168,169.76633726490277,3137
