year,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,n_player_games
1993,10.12526096033403,3.7477760334903194,5.826223544973545,15.698291007826226,1.9983284580025074,1.6138119036801455,5.009771986970684,2.0894618834080716,,,,,1.892995665069587,1.8703829594380241,2.0,,,,,,,,,6281
1994,8.989136490250697,3.5545104086353123,5.523348272372416,14.185696534585116,1.8810746740418807,1.581051716644937,4.92867540029112,2.0332862618519267,,,,,1.6899416255051638,1.692653336328915,2.0,,,,,,,,,7311
1995,8.98835383407485,3.5982758620689657,5.302856361896953,13.936211590820692,1.861878453038674,1.5092995647012268,4.680683311432326,1.9736030828516378,,,,,1.6102610261026102,1.5987943737441392,2.0,,,,,,,,,7770
1996,9.115133298484057,3.6922424756252648,5.389287163533072,14.181159420289855,1.8066239316239316,1.497350183448838,5.47289156626506,2.0502876229356097,,,,,1.6453681185054168,1.6467595664675956,2.0,,,,,,,,,7783
1997,9.103205629397968,3.705367231638418,5.152304335969458,13.934627831715211,1.7405405405405405,1.4661864745898359,5.140290255701451,1.9845457972107048,,,,,1.589823969134314,1.56010411736867,2.0,,,,,,,,,7770
1998,8.895804633688165,3.6763542093054986,5.175452297279708,13.727666955767562,1.7445179255134007,1.4180813264903276,6.155018392012612,2.072,2.4688805346700082,2.9954814583982547,2.569252355181399,1.7494117647058824,1.5527039413382218,1.5569882569652314,2.0,,,,,,,,,8140
1999,9.016038090464853,3.8317744340517828,5.127908488236058,13.792992447690974,1.7522998296422487,1.4391129032258065,6.328515842134519,1.8144350226779729,2.5231788079470197,3.002914557447461,2.7984120836560806,1.8682268226822683,1.5667861945316002,1.5726495726495726,2.0,6.05514006844974,8.009436336185203,1.6449650136902951,1.7988970588235293,1.7485080988917305,1.8330842052815146,,,8140
2000,9.273837716564875,4.076872100728959,5.299561742717195,14.273816878784135,1.777567140600316,1.4540816326530612,6.345299145299145,2.0699877214523767,2.5271363726070653,3.1065400843881856,2.7214285714285715,2.0411508865841417,1.5436961081333023,1.5164835164835164,2.0,6.096314062105529,8.345970374089882,1.6043095004897159,1.8379888268156424,1.8528171713300114,1.8987574781408192,,,8140
2001,8.89986231067718,4.089869715501196,5.2173405909797825,13.781930693069308,1.7370333663693427,1.43687374749499,6.114269471290506,2.233598915070351,2.3441636582430805,2.9384662956091527,2.5385912326714126,1.6816089653792274,1.509705248023005,1.493481867741171,2.0,5.6460894916973,8.287061486231611,1.5717562254259503,1.8014757554462404,1.8356870229007634,1.9236016371077762,,,8140
2002,8.484217092950717,3.8615017245953833,5.242615761640655,13.421494749845584,1.687314662273476,1.4210526315789473,6.2612419700214135,2.507408575031526,2.3178493773473017,2.882118188795088,2.493368204745003,2.130311614730878,1.4355716878402904,1.4385554689529747,2.0,5.42410035478966,8.255463451394123,1.5130960376091336,1.7465368775739423,2.588364091335627,1.9936432260627732,,,8140
2003,8.59351620947631,4.032782551222736,5.155303518494652,13.436960276338514,1.7043100567991982,1.4304154901169825,6.769876819708847,2.5027598170635548,2.3759036144578314,2.8997980425664127,2.548835388530045,2.272395171537484,1.4506969540526589,1.4607384295371815,2.0,5.697494939271255,7.8976575222347485,1.53889816360601,1.7936865839909808,2.531918263899889,2.0409429280397022,1.2916093535075652,81.82737437031577,8140
2004,8.441791044776119,4.034342105263158,5.175592173017508,13.334484885872918,1.7229288415262978,1.4425689584191026,6.452182952182953,2.5395858708891597,2.665788940652218,2.877976653696498,2.4846199642786266,2.2448719987279375,1.4424894957983194,1.441029682164434,2.0,5.472384089181657,7.966875,1.5056755767118273,1.8327566320645905,2.6132254995242628,1.9929048414023371,1.27992547741034,81.84625783458277,8140
2005,8.80171130952381,4.3598450613298905,5.539194511497904,14.126001726051042,1.7355035605289928,1.4240165631469979,6.935562310030395,2.499615207018624,2.6273364485981308,2.8421052631578947,2.438536190861302,2.3909797348773427,1.515317026834481,1.5062840882143704,2.0,5.353578629032258,8.852974046939028,1.41523733546071,1.8155339805825244,2.6210230817217717,2.1597247374139803,1.2847652790079716,81.8367121267969,8140
2006,9.494361135208823,5.111604311984781,6.1480035268925555,15.43238587424634,1.7052957359009628,1.4242546333601933,7.411295681063123,2.6887015675835553,2.6167664670658684,2.816841465268278,2.3943256578947367,2.399641577060932,1.4838631984585742,1.4667145593869733,2.0,5.291185334003013,10.214427121999504,1.4128878281622912,1.8702855128657032,2.6432192648922688,2.402316844082655,1.2541912097870411,81.83218673218673,8140
2007,9.24412274189557,4.884213210915583,6.637753823013287,15.70319803198032,1.7224283305227657,1.414691943127962,7.082619339045288,2.8225014442518774,2.4453504173946805,2.8426898829180427,2.456472054851444,2.5047979063681303,1.5583148558758315,1.5373298199385157,2.0,5.417708854427214,10.344661393969352,1.462651544779038,1.8802158273381295,2.715134459036898,2.3004527813712805,1.3013182674199624,81.82137592137592,8140
2008,9.1301344517084,4.847760060744116,7.139546473959631,16.14259373079287,1.7275725593667546,1.4335117332235487,7.935505319148936,2.8257521745330103,2.3213328226733054,2.7726726726726727,2.439991821713351,2.5160034602076125,1.583668288555109,1.5791145943656004,2.0,5.445347673836919,10.772643253234751,1.4694288012872083,1.8962333825701625,2.5493458245840737,2.2134680134680136,1.3176558417319895,81.82039312039312,8140
2009,9.004203238966499,4.591540323608103,8.131422189128816,17.016111179436724,1.6564396493594067,1.405437824870052,8.424030514939606,3.1626049841663226,2.3521045550643858,2.769534813013074,2.482487209759937,2.3504611330698286,1.5223399355135883,1.496702297020696,2.0,5.720338983050848,11.25591424346969,1.4320987654320987,1.824105461393597,2.6229690984389933,2.132291269538696,1.3011627906976744,81.82702702702703,8140
2010,9.189205802803048,4.457222645341457,7.732823485876403,16.805453656150647,1.690807799442897,1.4065457413249212,8.909030544488711,3.3884397736459175,2.3804243930414835,2.799217927507896,2.566089693154996,2.3953753925206964,1.5738137082601054,1.5389596373839844,2.0,6.149672475590162,10.55240897388746,1.466529351184346,1.7434715821812596,2.7194897018137105,1.872980251346499,1.3044564764681383,81.81495966756295,8182
2011,9.370556008858841,4.167217125382263,7.1148465969201835,16.357051654091702,1.6598618090452262,1.4043655197928229,9.382603406326034,3.453965010854297,2.4502455885028196,2.8656400113026277,2.764935064935065,2.521059782608696,1.6243321002877107,1.5902301170771094,2.0,6.651203758073987,9.741457725947521,1.5487163625115992,1.6768336964415396,2.9830993984531653,1.8108490566037736,1.3282769350447297,81.83545918367346,8624
2012,9.40575714128157,4.210599237963284,6.9858068842199375,16.2443394152561,1.6650573325286662,1.4059722715961607,9.914957780458383,3.236247544204322,2.357008707529452,2.8314396471060017,2.852602739726027,2.46897266485296,1.5669732107157137,1.532664305391578,2.0,6.526432943795214,9.762230811706239,1.4864029666254635,1.6793536804308797,2.8906996347288563,1.8527443105756358,1.3006157189424121,81.83443126921388,9108
2013,9.474626865671642,4.236180322169429,6.994874080677513,16.326149109302836,1.6442933175635719,1.365606431317721,10.576326002587322,3.2220986281053023,2.3683307599931376,2.8005070723245264,2.8007239819004526,2.4287390794106143,1.5444031391986783,1.5222290514238885,2.0,6.45173487544484,9.887034376036254,1.4644157563720623,1.666781174854002,2.7641921397379914,1.8926367749897162,1.3046175051688491,81.81609574000878,9108
2014,9.393654653990714,4.221063607924922,7.26775956284153,16.504891722545896,1.6079036739734487,1.3388848660391022,10.330286410725167,3.368453330062554,2.325840825840826,2.7862881628280665,2.856135911801916,2.3858195211786373,1.4969683845820703,1.4767416934619506,2.0,6.350373925661346,10.170807110522247,1.4247407937075438,1.6558791801510249,2.859039977866925,1.8272604588394061,1.2803907380607815,81.80884936319718,9108
2015,9.343340004447409,4.324223746947319,7.37308080242071,16.55330902662689,1.6271612700408677,1.362095531587057,9.702465753424658,3.3647336983573917,2.3504963822985023,2.81404174573055,2.960014809329878,2.48671875,1.5499792617171297,1.5368768026370003,2.0,6.308945830523713,10.36165722536932,1.4737721349816237,1.677688827010094,2.7048082775410833,1.709051724137931,1.2945054945054946,81.80814210061783,9064
2016,9.370247933884297,4.210659315414657,7.797098239007642,17.077016040430674,1.6530359355638167,1.3665583243048032,9.639084507042254,3.4842676311030742,2.40280296784831,2.8363517060367456,2.864982085611918,2.631314400603167,1.530813152195314,1.5397423191278494,2.0,6.551781551781552,10.614605132723868,1.5311994827028774,1.6729475100942126,2.888098693759071,1.6717980295566504,1.3232432432432433,81.75658761528327,9108
2017,9.63406835722161,4.411516051639438,7.83338861249309,17.388351648351648,1.5961251862891208,1.3942410238179879,17.431890179514255,3.41323706377858,2.431401684001981,2.828978311993729,2.867093373493976,2.7283996072655867,1.5534290271132376,1.5409576573011476,2.0,6.550094308221458,10.902213412619755,1.5056984695538913,1.6714620274339245,2.8161337209302326,1.6722640416907932,1.3040085136573254,81.79446640316206,9108
2018,9.685607311970047,4.279582233444279,7.4178424619486725,17.000659268212285,1.6008376288659794,1.369692532942899,15.959365708622398,3.289879931389365,2.561286001339585,2.8229652669777088,2.8636363636363638,2.8165752589884216,1.6135155656795748,1.6137485757690846,2.0,6.678345714602506,10.439876556816928,1.4930601454064771,1.6216596343178622,2.9624187623622493,1.6261378413524057,1.297029702970297,81.80226174791392,9108
2019,9.994603524229074,4.314240073026015,6.9874122758159745,16.861898483849703,1.598866288762921,1.3599236641221375,16.012048192771083,3.194547248951394,2.7527519051651144,2.8153725284797697,2.9903189066059226,2.7853993140617344,1.561385940316443,1.554402076262727,2.0,6.603251852671165,10.094345861346854,1.5055857006064475,1.6164912280701755,2.983882369574438,1.6047156726768377,1.2807558812186657,81.79721124286341,9108
2020,7.994209857364779,3.4628641146865946,5.660505415162455,13.454009268361185,1.4279959718026183,1.2997481108312343,12.82171581769437,2.762949215454699,2.422488826158551,2.426842485549133,2.606979865771812,2.4714566929133857,1.4629681779780344,1.457631874298541,2.0,5.452326577219526,7.972942343108089,1.467429139731477,1.493421052631579,2.6271058110921826,1.4480337078651686,1.1928934010152283,81.81748035914703,7128
2021,9.745434900054025,4.40445394218873,6.678778592535843,16.256503977639216,1.6060504201680672,1.363495145631068,13.128228782287822,2.964312453206888,2.7545625106600715,2.7869667626275842,2.9228021432823974,2.8512486427795873,1.536936236391913,1.54287946864622,2.0,6.1432780445220425,10.010153380859798,1.5504557291666667,1.7060725835429393,2.857203270369326,1.5679715302491104,1.265601217656012,79.94442060085836,9522
2022,9.632956381260097,4.275838775050664,6.506260984182777,15.957389717720297,1.620142487046632,1.3552273610571317,14.034058656575214,3.026444416593558,2.7811648501362396,2.834531433799503,2.9336675665252603,2.959980999881249,1.5819144911085887,1.5655276004506196,2.0,6.173127177700349,9.661810726232869,1.4981311586816175,1.6807184750733137,2.868280326484661,1.5334728033472804,1.268192048012003,79.79291144662169,9522
2023,9.400487408610886,4.191637258047268,6.614899772680306,15.800121077590555,1.6047867444001227,1.3533111357750647,15.03382084095064,3.1112026359143328,2.756817452678858,2.7946231279155413,2.9150018162005087,2.8227704843820733,1.504927079227434,1.5045436586329515,2.0,6.058908341915551,9.611020905216156,1.4892015706806283,1.7105001656177543,2.7850901146914255,1.5684071381361533,1.2860103626943005,78.30087604470849,9936
2024,9.3169099756691,4.257520802218903,6.355918198719273,15.483350151362261,1.602355072463768,1.3283959537572254,15.213818860877684,3.0606024808033077,2.694909793814433,2.795403447414439,2.910016360661698,2.778098982423682,1.5146187277755827,1.5184523809523809,2.0,5.846915617907984,9.480683204554698,1.4567814476458187,1.6795252225519288,2.638986629134412,1.628361858190709,1.3074253990284526,78.29926492800323,9936
2025,9.131716140014895,4.123182689056689,6.5469003570269395,15.482649174777825,1.6155819172811798,1.3472942920681987,16.02189054726368,3.0581984430989744,2.718273676999486,2.773439540349961,2.93572922608861,2.8159626660284793,1.5710928319623971,1.558040054442932,2.0,5.831180110737162,9.50521720613288,1.4425738870183316,1.688302672683096,2.6188266985932356,1.6145059965733866,1.2962962962962963,78.28854881266491,9480
2026,9.43219749652295,4.312796208530806,6.751059322033898,16.04649548924358,1.625984251968504,1.4146341463414633,12.565749235474007,2.9158068510111432,2.712336244541485,2.7907845579078456,2.7273295809881177,2.802646944336318,1.5012755102040816,1.519639407598197,,5.69247009148487,10.031402651779484,1.397984886649874,1.766704416761042,2.6114618746964546,1.6775244299674268,1.2835978835978836,78.3102253032929,2885
