year,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,n_player_games
1897,,,,,1.415929203539823,,,,,,,,,,,,,,,,,,,2480
1898,,,,,1.4507042253521127,,,,,,,,,,,,,,,,,,,2800
1899,,,,,1.4796573875802999,,,,,,,,,,,,,,,,,,,2484
1900,,,,,1.4258555133079849,,,,,,,,,,,,,,,,,,,2520
1901,,,,,1.5044404973357015,,,,,,,,,,,,,,,,,,,2556
1902,,,,,1.5034246575342465,,,,,,,,,,,,,,,,,,,2592
1903,,,,,1.495798319327731,,,,,,,,,,,,,,,,,,,2556
1904,,,,,1.5380875202593194,,,,,,,,,,,,,,,,,,,2556
1905,,,,,1.5115207373271888,,,,,,,,,,,,,,,,,,,2592
1906,,,,,1.5976505139500734,,,,,,,,,,,,,,,,,,,2556
1907,,,,,1.606973058637084,,,,,,,,,,,,,,,,,,,2556
1908,,,,,1.549438202247191,,,,,,,,,,,,,,,,,,,3350
1909,,,,,1.6366863905325444,,,,,,,,,,,,,,,,,,,3384
1910,,,,,1.5311804008908685,,,,,,,,,,,,,,,,,,,3384
1911,,,,,1.6116279069767443,,,,,,,,,,,,,,,,,,,3348
1912,,,,,1.6426940639269407,,,,,,,,,,,,,,,,,,,3384
1913,,,,,1.647812166488794,,,,,,,,,,,,,,,,,,,3384
1914,,,,,1.739080459770115,,,,,,,,,,,,,,,,,,,3384
1915,,,,,1.7489481065918653,,,,,,,,,,,,,,,,,,,2736
1916,,,,,1.7663230240549828,,,,,,,,,,,,,,,,,,,1008
1917,,,,,1.6004319654427646,,,,,,,,,,,,,,,,,,,1764
1918,,,,,1.5691489361702127,,,,,,,,,,,,,,,,,,,2124
1919,,,,,1.716826265389877,,,,,,,,,,,,,,,,,,,2736
1920,,,,,1.7250608272506083,,,,,,,,,,,,,,,,,,,2736
1921,,,,,1.7771952817824377,,,,,,,,,,,,,,,,,,,2736
1922,,,,,1.8265306122448979,,,,,,,,,,,,,,,,,,,2736
1923,,,,,1.7636363636363637,,,,,,,,,,,,,,,,,,,2736
1924,,,,,1.8150431565967942,,,,,,,,,,,,,,,,,,,2808
1925,,,,,1.8151111111111111,,,,,,,,,,,,,,,,,,,3816
1926,,,,,1.8469468675654244,,,,,,,,,,,,,,,,,,,4032
1927,,,,,1.8914664457332229,,,,,,,,,,,,,,,,,,,3996
1928,,,,,1.9692913385826771,,,,,,,,,,,,,,,,,,,4032
1929,,,,,1.9667207792207793,,,,,,,,,,,,,,,,,,,4032
1930,,,,,2.0247208931419456,,,,,,,,,,,,,,,,,,,4256
1931,,,,,1.9654320987654321,,,,,,,,,,2.0,,,,,,,,,4256
1932,,,,,2.015686274509804,,,,,,,,,,1.989795918367347,,,,,,,,,4256
1933,,,,,2.156398104265403,,,,,,,,,,2.0,,,,,,,,,4256
1934,,,,,2.182427401340283,,,,,,,,,,2.003095975232198,,,,,,,,,4256
1935,,,,,2.099704579025111,,,,,,,,,,,,,,,,,,,4256
1936,,,,,2.115356355620867,,,,,,,,,,,,,,,,,,,4256
1937,,,,,2.076923076923077,,,,,,,,,,,,,,,,,,,4256
1938,,,,,2.1179856115107913,,,,,,,,,,,,,,,,,,,4256
1939,,,,,2.0985507246376813,,,,,,,,,,,,,,,,,,,4256
1940,,,,,2.02803738317757,,,,,,,,,,,,,,,,,,,4256
1941,,,,,2.1561365286855483,,,,,,,,,,,,,,,,,,,4256
1942,,,,,2.138099902056807,,,,,,,,,,,,,,,,,,,3192
1943,,,,,1.9890219560878244,,,,,,,,,,,,,,,,,,,3192
1944,,,,,2.0143288084464555,,,,,,,,,,,,,,,,,,,4256
1945,,,,,1.958139534883721,,,,,,,,,,,,,,,,,,,4712
1946,,,,,2.000669344042838,,,,,,,,,,,,,,,,,,,4760
1947,,,,,2.023926812104152,,,,,,,,,,,,,,,,,,,4720
1948,,,,,1.9899569583931134,,,,,,,,,,,,,,,,,,,4760
1949,,,,,1.8945054945054944,,,,,,,,,,,,,,,,,,,4720
1950,,,,,1.9938977879481312,,,,,,,,,,,,,,,,,,,4480
1951,,,,,1.9103282626100881,,,,,,,,,,,,,,,,,,,4480
1952,,,,,1.8337330135891288,,,,,,,,,,,,,,,,,,,4720
1953,,,,,1.7789223454833598,,,,,,,,,,,,,,,,,,,4480
1954,,,,,1.8334630350194552,,,,,,,,,,,,,,,,,,,4480
1955,,,,,1.868336025848142,,,,,,,,,,,,,,,,,,,4480
1956,,,,,1.749800796812749,,,,,,,,,,,,,,,,,,,4480
1957,,,,,1.8280060882800608,,,,,,,,,,,,,,,,,,,4480
1958,,,,,1.8427480916030534,,,,,,,,,,,,,,,,,,,4480
1959,,,,,1.9008264462809918,,,,,,,,,,,,,,,,,,,4480
1960,,,,,1.754625905068383,,,,,,,,,,,,,,,,,,,4480
1961,,,,,1.787333854573886,,,,,,,,,,,,,,,,,,,4480
1962,,,,,1.8245083207261725,,,,,,,,,,,,,,,,,,,4520
1963,,,,,1.758435582822086,,,,,,,,,,,,,,,,,,,4480
1964,,,,,1.7257187257187256,,,,,,,,,,,,,,,,,,,4480
1965,11.293207024029575,3.4264209706722033,2.6968503937007875,13.319963116643615,1.740990990990991,1.6978367062107467,,,,,,,2.0480918399007138,1.96793893129771,,,,,,,,,,4480
1966,11.77086214845551,3.48991205380238,2.7259511289823695,13.770699172033119,1.7837037037037038,1.7040816326530612,8.459047619047618,,,,,,2.14596554850408,2.111873508353222,,,,,,,,,,4480
1967,11.954261954261954,3.5235020661157024,2.7542190856090825,13.995390643005301,1.8442321822189567,1.703851261620186,8.348859315589353,,,,,,2.229185588858613,2.1914260196487048,,,,,,,,,,4480
1968,12.141462401329456,3.7829563628055745,2.83099730458221,14.290569948186528,1.8385852090032155,1.7113938692886062,8.638766519823788,,,,,,2.1772044230223986,2.1106523534269197,,,,,,,,,,4960
1969,12.589979123173277,4.159070397111913,3.082807371875789,15.114005835764901,2.0385071090047395,1.7841483979763912,6.3002859866539564,,,,,,2.4910302409021017,2.421000248818114,,,,,,,,,,4960
1970,12.41234756097561,4.021425628347754,3.1888608755443504,15.034804108025865,1.9947089947089947,1.7374537770734284,6.523890784982935,,,,,,2.5594723675233113,2.5142920946851275,,,,,,,,,,5440
1971,12.361617312072893,4.175954276382935,3.162806539509537,14.946114577424844,2.037917374080362,1.7134655532359082,6.8007346189164375,,,,,,2.527355278093076,2.5046139995498535,,,,,,,,,,5440
1972,12.14410237388724,4.142885892533709,2.7282123561193328,14.258368781209542,1.974128827877508,1.7173252279635258,6.338420107719928,,,,,,2.5,2.4546847635726796,,,,,,,,,,5560
1973,11.856608011980532,3.9706774519716888,3.1961883408071747,14.484412917677805,1.8586206896551725,1.71156735102654,6.558664259927798,,,,,,2.512750455373406,2.4642459345065717,,,,,,,,,,5520
1974,11.523827321995888,3.844543791912213,3.5987220447284347,14.613095238095237,1.8906819364914107,1.7128614157527418,5.534883720930233,,,,,,2.354619565217391,2.327485380116959,,,,,,,,,,5520
1975,11.280725712056185,3.641053313187999,3.571302428256071,14.380684026428295,1.8390170511534605,1.7273190621814476,6.991071428571429,,,,,,2.407033997655334,2.399626517273576,,,,,,,,,,5520
1976,11.078957169459963,3.7835303709743173,3.880640465793304,14.492119414055256,1.8837209302325582,1.6720116618075802,6.392045454545454,,,,,,2.4356341055648434,2.4074602043240674,,,,,,,,,,5520
1977,10.996120450766673,3.7151576805696847,4.197267979108076,14.771491550330639,1.9500494559841741,1.710285132382892,6.713352007469655,,,,,,2.6207470854151795,2.576715858514875,,,,,,,,,,5560
1978,10.779586610572526,3.7845259571056324,4.289954786711225,14.720196864746628,2.0228710462287105,1.6676691729323307,6.827111984282908,,,,,,2.4888287068381856,2.4233977172958734,,,,,,,,,,5520
1979,10.917306988657153,3.7691063485644967,4.741108986615679,15.3917638483965,1.9624589394650398,1.7019898195279963,7.162431941923775,,,,,,2.4456375838926174,2.352182326381423,,,,,,,,,,5520
1980,10.687202053538687,3.573051948051948,5.044227455485354,15.458264840182649,1.9357541899441342,1.6594134342478712,8.398854961832061,,,,,,2.2705721449737863,2.206553021917202,,,,,,,,,,5520
1981,10.556512181718263,3.3854530511608796,4.861228406909789,15.12673231218089,1.8893166506256016,1.649114408808042,8.033030553261767,,,,,,2.326883206634416,2.2625335720680395,,,,,,,,,,5520
1982,10.443976565360673,3.5321471896482004,5.088055130168454,15.226693372177714,2.015342960288809,1.7060465116279069,8.52410166520596,,,,,,2.27007299270073,2.2355715248147314,,,,,,,,,,5520
1983,10.559421351400843,3.7623130608175472,5.351206434316354,15.607839562443026,1.9711359404096833,1.6311475409836065,8.107480653482373,,,,,,2.3203393717037377,2.2810883741848436,,,,,,,,,,5520
1984,10.412669351885755,3.707673812863154,4.974507531865585,15.059595407326407,1.9385923476617855,1.6381957773512477,7.832909245122986,,,,,,2.1609437047418827,2.1812396888993635,2.0,,,,,,,,,5520
1985,10.418052256532066,3.8226992645597297,4.998470363288719,15.147540983606557,1.957004160887656,1.6188318227593153,5.634090909090909,,,,,,2.123676612127045,2.0979320180651295,2.0,,,,,,,,,5520
1986,10.070958302852963,3.704759991966258,5.229317575295463,15.005638413968716,1.9133112269066792,1.6223776223776223,6.1970217640320735,,,,,,1.951737934483621,1.9102470041574957,2.0,,,,,,,,,5520
1987,10.018582677165353,3.689929176023493,5.378775510204082,15.144761606022584,1.9658952496954933,1.618307426597582,5.877862595419847,1.8756428237494156,,,,,1.99935107073329,1.9674537332482451,2.0,,,,,,,,,6400
1988,10.526888503390632,3.799829497016198,5.254161859238503,15.490497879692162,1.8980891719745223,1.6049700085689802,5.636893203883496,1.8146878824969401,,,,,1.9063403781979977,1.8955619342018106,2.0,,,,,,,,,6400
1989,10.40097683945171,3.775805617783905,5.252962475312706,15.347437705688764,1.8665245202558636,1.5734204793028324,5.503122212310437,1.8811289165271465,,,,,1.9892685063512923,1.9491416309012874,2.0,,,,,,,,,6400
1990,10.279510895124627,3.698875255623722,5.645657809462087,15.66339104663859,1.900329489291598,1.6240276577355228,5.416666666666667,1.8845220766618147,,,,,1.8322625057365765,1.8075616934570975,2.0,,,,,,,,,6440
1991,10.48481291269259,3.765960859801091,6.01380042462845,16.210825795156115,1.9457186544342508,1.625966625966626,5.362869198312236,1.8559907834101383,,,,,1.8134278750276978,1.7850752782020511,2.0,,,,,,,,,6880
1992,10.215112022258017,3.783698065334602,5.75026455026455,15.695544554455445,1.9328859060402686,1.6122112211221122,5.112903225806452,2.005511977952088,,,,,1.866865799018562,1.8524243065847978,2.0,,,,,,,,,6892
