player_name,club,position,age,contract_end,games,notes
Jed Bews,Geelong,,32,2026,175,Restricted FA (AFL.com.au)
Keighton Matofai-Forbes,Geelong,,,2026,,Restricted FA (AFL.com.au) | stats not in repo
Mark Blicavs,Geelong,,35,2026,306,Unrestricted FA (AFL.com.au)
Mark O'Connor,Geelong,,29,2026,159,Unrestricted FA (AFL.com.au)
Patrick Dangerfield,Geelong,,36,2026,370,Unrestricted FA (AFL.com.au)
Rhys Stanley,Geelong,,35,2026,230,Unrestricted FA (AFL.com.au)
Ben Jepsen,Gold Coast,,,2026,,Restricted FA (AFL.com.au) | stats not in repo
Ben King,Gold Coast,,25,2026,133,Restricted FA (AFL.com.au)
Caleb Graham,Gold Coast,,25,2026,37,Unrestricted FA (AFL.com.au)
Jamarra Ugle-Hagan,Gold Coast,,24,2026,70,Off-contract (ZeroHanger)
Jarrad Witts,Gold Coast,,33,2026,215,Unrestricted FA (AFL.com.au)
Jed Walter,Gold Coast,,21,2026,38,Off-contract (ZeroHanger)
John Noble,Gold Coast,,29,2026,150,Off-contract (ZeroHanger)
Lachlan Weller,Gold Coast,,30,2026,172,Unrestricted FA (AFL.com.au)
Nick Holman,Gold Coast,,31,2026,149,Restricted FA (AFL.com.au)
Oscar Adams,Gold Coast,,22,2026,18,Restricted FA (AFL.com.au)
Calsher Dear,Hawthorn,,20,2026,30,Off-contract (ZeroHanger)
Flynn Perez,Hawthorn,,24,2026,24,Restricted FA (AFL.com.au)
Harry Morrison,Hawthorn,,27,2026,126,Unrestricted FA (AFL.com.au)
Jack Gunston,Hawthorn,,34,2026,292,Unrestricted FA (AFL.com.au)
Jarman Impey,Hawthorn,,30,2026,234,Restricted FA (AFL.com.au)
Karl Amon,Hawthorn,,30,2026,207,Off-contract (ZeroHanger)
Mitchell Lewis,Hawthorn,,27,2026,91,Unrestricted FA (AFL.com.au)
Bayley Fritsch,Melbourne,,29,2026,184,Restricted FA (AFL.com.au)
Christian Salem,Melbourne,,30,2026,204,Unrestricted FA (AFL.com.au)
Jai Culley,Melbourne,,23,2026,23,Restricted FA (AFL.com.au)
Jake Melksham,Melbourne,,34,2026,251,Restricted FA (AFL.com.au)
Kade Chandler,Melbourne,,26,2026,93,Unrestricted FA (AFL.com.au)
Thomas Sparrow,Melbourne,,26,2026,131,Unrestricted FA (AFL.com.au)
Tom Campbell,Melbourne,,,2026,,Restricted FA (AFL.com.au) | ambiguous repo match (2 files)
