year,pick,player_name,original_club,extracted_school,school_type,grade,games,goals
2015,23,David Cuningham,Boroondara Hawks JFC / Canterbury / Melbourne Grammar / Oakleigh U18,Melbourne Grammar,APS,C+,58,30
2015,24,Ben Keays,St Joseph's College (Terrace) / Morningside / Queensland U18 / Redland / Brisbane (NEAFL),St Joseph's College (Terrace),other_private,B+,174,144
2015,25,Josh Dunkley,Sale / Gippsland U18 / Richmond (VFL),,unknown,A,208,81
2015,26,Kieran Collins,Langwarrin / Haileybury College / Dandenong U18,Haileybury College,APS,D,1,0
2015,27,Darcy Tucker,Horsham Saints / Ballarat Clarendon College / North Ballarat U18 / North Ballarat,Ballarat Clarendon College,other_private,C+,156,44
2015,28,Luke Partington,Tumby Bay / Immanuel College / Port Adelaide (SANFL) / Norwood,Immanuel College,unknown,C,6,3
2015,29,Alex Morgan,Forest Hill / Waverley Blues / Mount Waverley SC / Oakleigh U18,,unknown,D,2,0
2015,30,Mason Redman,Millicent / Glenelg,,unknown,B+,150,26
2015,31,Ryan Clarke,Rowville / Melbourne Grammar / Eastern U18,Melbourne Grammar,APS,C+,97,21
2015,32,Brayden Sier,Banyule / Marcellin College / Northern U18,Marcellin College,other_private,C+,28,6
2015,33,Mitch Hibberd,Clarence / Tasmania U18,,unknown,D,9,0
2015,34,Josh Schoenfeld,Rockingham / Peel,,unknown,C,15,5
2015,35,Marcus Adams,Upper Swan / Swan Districts / West Perth,,unknown,B,73,5
2015,36,Tom Cole,Strathfieldsaye / Sandhurst / Bendigo U18 / Geelong (VFL),,unknown,C+,139,9
2015,37,Riley Bonner,Goodwood / Prince Alfred College / West Adelaide,Prince Alfred College,GPS_SA,C+,112,14
2015,38,Harley Balic,Parkdale / Mordialloc-Braeside / Sandringham U18,,unknown,D,4,3
2015,39,Rhys Mathieson,Bell Park / Geelong U18 / Geelong (VFL),,unknown,C+,72,29
2015,40,Brandon White,Beaconsfield / Dandenong U18,,unknown,C,11,1
2015,41,Matthew Flynn,Narrandera / NSW-ACT U18 / Greater Western Sydney (NEAFL),,unknown,C+,59,18
2015,42,Mitch King,Wodonga FC / Murray U18,,unknown,D,0,0
2015,43,Corey Wagner,Sandgate / Aspley,,unknown,C,69,9
2015,44,Blake Hardwick,Beverley Hills / Donvale / East Doncaster / Eastern U18,,unknown,B,211,40
2015,45,Aidyn Johnson,Moama / Echuca / Scotch College / Bendigo U18,Scotch College,APS,C+,11,8
2015,46,Liam Hulett,Bonbeach / St Bede's College / Dandenong U18,St Bede's College,other_private,D,0,0
2015,47,Sam Skinner,Newborough / Moe / Lowanna College / Gippsland U18,Lowanna College,unknown,D,5,3
2015,48,Bailey Williams,Brighton Districts & Old Scholars / Glenelg,,unknown,B,184,48
2015,49,Bailey Rice,Longwarry / Endeavour Hills / Beaconsfield / Hallam Senior College / Dandenong U18 / Northern Blues,Hallam Senior College,unknown,C,11,0
2015,50,Oleg Markov,Gepps Cross / North Adelaide,,unknown,C+,94,8
2015,51,Tyrone Leonardis,Banyule / Bundoora / North Heidelberg / Northern U18,,unknown,D,0,0
2015,52,Mackenzie Willis,Kingborough / Tasmania U18,,unknown,D,5,0
2015,53,Jack Silvagni,Greythorn / Xavier College / Oakleigh U18,Xavier College,APS,B,142,93
2015,54,Mitch Brown,Cheltenham / Mentone Grammar / Sandringham U18,Mentone Grammar,unknown,B,64,65
2015,55,Sam Collins,Donvale / Oakleigh U18 / Box Hill,,unknown,A,162,0
2015,56,Jordan Dawson,Robe / Scotch College (SA) / Sturt,Scotch College (SA),GPS_SA,A,166,93
2015,57,Kurt Mutimer,Narre Warren / Hallam Senior College / Dandenong U18,Hallam Senior College,unknown,D,4,1
2015,58,Tom Phillips,Beverley Hills / Caulfield Grammar / Oakleigh U18 / Port Melbourne,Caulfield Grammar,APS,B+,115,57
2015,59,Ryan Gardner,Burnie / Tasmania U18,,unknown,B,55,3
2015,60,Declan Mountford,North Albany / Claremont,,unknown,C,14,4
2015,61,Shane Yarran,Armadale / Peel / Subiaco,,unknown,C,6,10
2015,62,Matthew Allen,North Gambier / Glenelg,,unknown,D,0,0
2015,63,Rupert Wills,Scotch College / Old Scotch / Collingwood (VFL),Scotch College,APS,C,23,1
2015,64,Yestin Eades,Midvale / Swan Districts / St Patrick's College / North Ballarat U18 / North Ballarat,St Patrick's College,other_private,D,0,0
2015,65,Ben Crocker,Kew Giants JFC / Kew Comets / Carey Grammar / Oakleigh U18 / Port Melbourne,Carey Grammar,APS,C,33,25
2015,66,Sam Menegola,Attadale JFC / East Fremantle,,unknown,B+,117,81
2015,67,Nathan Broad,Upper Swan / Swan Districts,,unknown,C+,182,4
2015,68,Michael Hartley,Penrith / Sydney University / NSW-ACT U18 / Collingwood (VFL),,unknown,C,49,2
2015,69,Wylie Buzza,Mount Gravatt / Redland / Queensland U18,,unknown,C,9,6
2015,70,Matthew Hayball,Roxby Districts / Sacred Heart College / West Adelaide,Sacred Heart College,other_private,D,0,0
2016,1,Andrew McGrath,Brighton Grammar / East Brighton / Sandringham U18,Brighton Grammar,APS,B+,191,22
2016,2,Tim Taranto,St Kevin's College / Parkdale / Sandringham U18,St Kevin's College,APS,A,184,94
2016,3,Hugh McCluggage,South Warrnambool / Ballarat Clarendon College / North Ballarat U18,Ballarat Clarendon College,other_private,A,218,139
2016,4,Ben Ainsworth,Morwell / Gippsland U18 / Casey,,unknown,B,171,150
2016,5,Will Setterfield,Scots (Albury) / NSW-ACT U18 / Caulfield Grammar / Sandringham U18,Caulfield Grammar,APS,C+,88,17
2016,6,Sam Petrevski-Seton,Halls Creek / Claremont,,unknown,C+,121,24
2016,7,Jack Scrimshaw,Haileybury College / Beaumaris / Sandringham U18,Haileybury College,APS,B,129,11
2016,8,Griffin Logue,Guildford Grammar / Swan Districts,Guildford Grammar,GPS_WA,B,108,11
2016,9,Will Brodie,Shepparton FC / Scotch College / Murray U18,Scotch College,APS,B+,55,10
2016,10,Jack Bowes,Manunda / Cairns FC / Surfers Paradise / Queensland U18 / Gold Coast (NEAFL),,unknown,B,150,53
2016,11,Oliver Florent,Beaumaris / Mentone Grammar / Sandringham U18,Mentone Grammar,unknown,B,197,52
2016,12,Jy Simpkin,Mooroopna / Scotch College / Murray U18,Scotch College,APS,B+,186,81
2016,13,Daniel Venables,PEGS / Keilor / Western U18,,unknown,C,21,11
2016,14,Harry Perryman,Collingullie-Glenfield Park / NSW-ACT U18 / Western Sydney University,,unknown,B,163,32
2016,15,Jordan Gallucci,Lilydale / Yarra Valley Grammar / Eastern U18,Yarra Valley Grammar,other_private,C+,27,19
2016,16,Todd Marshall,Deniliquin FC / Murray U18 / Western Sydney University,,unknown,B+,124,161
2016,17,Jarrod Berry,Horsham Saints / North Ballarat U18,,unknown,B,193,75
2016,18,Sam Powell-Pepper,Wesley College (WA) / East Perth,Wesley College (WA),GPS_WA,B,158,124
2016,19,Tim English,Brookton-Pingelly / Christ Church Grammar / South Fremantle,Christ Church Grammar,GPS_WA,A,163,95
2016,20,Isaac Cumming,North Broken Hill / NSW-ACT U18 / North Adelaide / Western Sydney University,,unknown,B,114,22
2016,21,Will Hayward,Walkerville / St Peter's College (SA) / North Adelaide,St Peter's College (SA),GPS_SA,B,196,241
2016,22,Jordan Ridley,Knox / Box Hill HS / Oakleigh U18,,unknown,B+,107,2
2016,23,Alex Witherden,St Joseph's / Geelong College / Geelong U18,Geelong College,other_private,C+,121,8
2016,24,Cedric Cox,Halls Creek / Camperdown / North Ballarat U18 / North Ballarat,,unknown,C,13,3
2016,25,Ben Long,St Marys / Melbourne Grammar / NT U18 / Northern U18 / Footscray (VFL),Melbourne Grammar,APS,B+,147,117
2016,26,Brandan Parfitt,Nightcliff / North Adelaide / NT U18,,unknown,B,130,48
2016,27,Zac Fisher,Guildford Grammar / Perth,Guildford Grammar,GPS_WA,C+,133,55
2016,28,Patrick Lipinski,Eltham / Whitefriars College / Northern U18,Whitefriars College,other_private,B,153,76
