year,round,team,opponent,disposals_conceded,kicks_conceded,handballs_conceded,marks_conceded,goals_conceded,behinds_conceded,tackles_conceded,hitouts_conceded,inside_50s_conceded,clearances_conceded
2025,11,Carlton,Sydney,358,218,140,70,11,12,28,8,42,71
2025,11,Adelaide,Collingwood,327,202,125,72,11,12,40,8,35,53
2025,11,Geelong,Port Adelaide,363,235,128,107,5,9,35,13,37,52
2025,11,Fremantle,Greater Western Sydney,336,190,146,72,8,13,37,17,35,49
2025,11,Essendon,Western Bulldogs,385,203,182,102,18,19,44,6,41,46
2025,11,North Melbourne,Richmond,319,192,127,64,11,8,54,6,38,92
2025,11,Melbourne,Brisbane Lions,370,228,142,109,13,10,53,15,38,41
2025,11,St Kilda,West Coast,376,219,157,91,16,12,42,8,42,65
2025,12,Western Bulldogs,Geelong,344,191,153,75,20,7,53,17,31,76
2025,12,Richmond,Essendon,342,201,141,94,11,15,30,10,44,54
2025,12,Greater Western Sydney,Carlton,345,197,148,85,12,10,34,8,46,64
2025,12,Brisbane Lions,Hawthorn,366,242,124,110,8,12,29,9,41,59
2025,12,Collingwood,North Melbourne,346,194,152,76,9,9,29,18,38,90
2025,12,Port Adelaide,Fremantle,362,200,162,68,15,10,40,9,40,64
2025,12,West Coast,Adelaide,282,166,116,60,19,14,28,14,45,57
2025,12,Sydney,Melbourne,335,189,146,72,19,17,51,6,44,82
2025,12,Gold Coast,St Kilda,363,208,155,95,8,13,53,8,34,72
2025,13,Essendon,Brisbane Lions,358,189,169,77,13,12,47,6,48,51
2025,13,Hawthorn,Collingwood,343,203,140,91,16,11,42,8,27,38
2025,13,Fremantle,Gold Coast,339,193,146,53,9,10,50,9,43,86
2025,13,Richmond,Greater Western Sydney,358,216,142,84,12,8,40,17,38,43
2025,13,Adelaide,Sydney,348,229,119,83,5,11,45,5,39,84
2025,13,St Kilda,Melbourne,390,260,130,140,7,21,25,7,50,52
2025,13,Geelong,West Coast,345,230,115,111,11,7,39,14,31,67
